PK_PROPOSTA,FK_CLIENTE,FK_COLABORADOR,FK_AGENCIA,NUMERO_PROPOSTA,TS_ENTRADA_PROPOSTA,TAXA_JUROS_MENSAL,VALOR_PROPOSTA,VALOR_FINANCIAMENTO,VALOR_ENTRADA,VALOR_PRESTACAO,QUANTIDADE_PARCELAS,CARENCIA,STATUS_PROPOSTA
1,145,47,8,1,2022-12-06T19:24:54.492Z,0.010099999606609344,6251.82,11343.66,5091.84,99.61,100,6,Validação documentos
2,450,99,9,2,2015-04-30T14:30:35.615Z,0.01510000042617321,82085.21,132383.56,50298.35,1991.17,65,5,Enviada
3,217,95,2,3,2016-03-07T02:47:24.741Z,0.0210999995470047,73323.29,96087.95,22764.66,1832.93,89,2,Aprovada
4,550,51,3,4,2017-04-04T14:57:16.727Z,0.02280000038444996,23341.85,36949.55,13607.7,591.53,102,5,Em análise
5,307,72,1,5,2022-05-24T15:22:12.355Z,0.012299999594688416,4510.77,6381.91,1871.14,167.13,33,6,Aprovada
6,872,39,1,6,2013-06-29T07:09:17.100Z,0.015399999916553497,163801.62,209889.76,46088.14,3169.22,104,0,Enviada
7,35,22,6,7,2020-08-09T18:32:18.206Z,0.013899999670684338,9972.87,17837.4,7864.53,2078.51,5,0,Em análise
8,708,32,1,8,2012-05-23T11:01:12.744Z,0.01679999940097332,123766.09,165108.26,41342.17,3171.03,64,5,Enviada
9,430,17,10,9,2012-06-21T19:19:44.736Z,0.01679999940097332,35957.99,58860.13,22902.14,995.83,56,2,Em análise
10,733,23,8,10,2016-09-13T09:21:33.126Z,0.0203000009059906,37533.67,58781.55,21247.88,838.66,119,2,Validação documentos
11,861,45,4,11,2018-12-10T11:47:40.980Z,0.011699999682605267,137681.34,195118.71,57437.37,2583.19,84,6,Enviada
12,298,5,8,12,2012-08-01T17:58:33.484Z,0.01549999974668026,20890.11,39641.15,18751.04,390.37,115,4,Enviada
13,927,36,1,13,2012-06-07T18:25:48.936Z,0.022199999541044235,49823.91,78197.13,28373.22,2024.46,36,6,Validação documentos
14,36,32,1,14,2014-05-02T19:03:53.628Z,0.010099999606609344,107044.46,133780.5,26736.04,2618.22,53,3,Validação documentos
15,866,86,2,15,2019-05-07T22:38:35.614Z,0.010400000028312206,122345.31,161932.71,39587.4,2751.27,60,1,Validação documentos
16,794,12,9,16,2016-03-26T01:20:17.620Z,0.010200000368058681,40227.63,47847.45,7619.82,689.93,89,3,Validação documentos
17,625,9,2,17,2018-07-21T15:23:59.740Z,0.024399999529123306,137413.7,209004.64,71590.94,4418.41,59,2,Validação documentos
18,939,22,6,18,2013-07-29T16:53:09.337Z,0.023000000044703484,76319.4,141218.82,64899.42,2104.46,79,0,Aprovada
19,9,20,9,19,2022-12-05T02:58:05.853Z,0.016899999231100082,108347.58,203054.19,94706.61,6172.01,21,2,Em análise
20,994,76,2,20,2014-07-31T19:01:53.929Z,0.023000000044703484,53415.32,99131.96,45716.64,11431.37,5,2,Aprovada
21,768,27,10,21,2022-11-30T03:45:43.214Z,0.019500000402331352,64449.27,84723.84,20274.57,1581.29,82,1,Em análise
22,591,99,9,22,2022-09-10T03:50:39.942Z,0.014399999752640724,126055.25,171812.95,45757.7,2257.57,114,3,Aprovada
23,724,6,8,23,2010-11-12T19:36:11.907Z,0.008799999952316284,199634.35,241982.3,42347.95,3268.7,88,0,Aprovada
24,455,45,4,24,2018-02-14T13:04:38.037Z,0.019999999552965164,72109.93,101357.8,29247.87,2268.47,51,6,Aprovada
25,429,42,7,25,2010-04-13T21:15:12.596Z,0.023800000548362732,71426.59,100462.25,29035.66,18931.61,4,1,Em análise
26,53,50,5,26,2017-02-07T15:25:20.921Z,0.01489999983459711,77214.9,101363.13,24148.23,8368.3,10,2,Validação documentos
27,658,37,8,27,2014-11-04T11:30:59.775Z,0.01899999938905239,162464.47,208887.3,46422.83,4187.25,71,4,Em análise
28,844,89,8,28,2016-01-30T17:10:01.838Z,0.02019999921321869,146585.97,193481.32,46895.35,4395.21,56,4,Validação documentos
29,951,35,4,29,2019-07-09T09:03:13.311Z,0.017400000244379044,9622.41,14787.7,5165.29,233.79,73,1,Validação documentos
30,204,19,4,30,2011-02-27T04:29:43.174Z,0.014999999664723873,116473.67,141281.72,24808.05,15559.02,8,2,Enviada
31,494,67,5,31,2016-02-28T16:08:35.009Z,0.013000000268220901,55354.47,69564.41,14209.94,992.32,100,5,Aprovada
32,164,18,1,32,2010-03-19T16:10:06.968Z,0.014700000174343586,106202.8,182274.96,76072.16,11497.72,10,2,Validação documentos
33,283,64,10,33,2013-12-14T14:50:15.865Z,0.011900000274181366,53027.11,101334.71,48307.6,924.49,97,2,Enviada
34,237,44,6,34,2010-05-23T12:41:01.654Z,0.01810000091791153,12776.58,21606.69,8830.11,341.59,63,3,Enviada
35,415,47,8,35,2016-09-09T12:41:06.021Z,0.01080000028014183,21036.49,30861.65,9825.16,625.68,42,4,Em análise
36,307,87,9,36,2015-02-14T05:38:27.706Z,0.023900000378489494,3164.05,6057.03,2892.98,87.35,85,3,Validação documentos
37,680,91,3,37,2018-07-21T09:16:28.026Z,0.02419999986886978,65207.03,128461.87,63254.84,1732.86,101,0,Aprovada
38,48,20,9,38,2017-02-13T01:00:47.093Z,0.009999999776482582,14480.04,20150.05,5670.01,270.55,77,5,Aprovada
39,971,71,7,39,2011-02-19T23:11:00.297Z,0.02290000021457672,57789.64,78642.83,20853.19,3061.74,25,4,Em análise
40,208,39,1,40,2014-12-21T10:10:56.821Z,0.020500000566244125,54250.5,77235.83,22985.33,1653.87,55,1,Aprovada
41,776,62,1,41,2020-08-09T15:22:08.048Z,0.020899999886751175,11461.63,20491.47,9029.84,297.62,79,4,Enviada
42,386,1,4,42,2021-12-26T09:08:52.560Z,0.019099999219179153,146684.31,172594.45,25910.14,3397.65,92,3,Aprovada
43,693,100,7,43,2010-11-20T01:45:00.763Z,0.021199999377131462,180599.37,216619.79,36020.42,10002.79,23,0,Em análise
44,923,30,10,44,2014-07-18T12:15:05.152Z,0.013000000268220901,24520.19,41675.91,17155.72,611.73,57,0,Em análise
