PK_TRANSACAO,FK_CONTA,FK_CLIENTE,FK_AGENCIA,FK_COLABORADOR,NUMERO_TRANSACAO,TS_TRANSACAO,NOME_TRANSACAO,TIPO_TRASACAO,VALOR_TRANSACAO
1,1,1,5,15,1,2016-03-15T18:09:56.704Z,Depósito em espécie,Crédito,130.1
2,2,2,7,100,2,2021-02-03T02:56:28.418Z,Depósito em espécie,Crédito,270.1
3,3,3,7,100,3,2017-01-18T22:55:42.504Z,TED - Recebido,Crédito,1205.0
4,4,4,7,42,4,2019-06-26T21:38:39.164Z,Depósito em espécie,Crédito,166.5
5,5,5,6,48,5,2015-09-28T05:58:31.182Z,Depósito em espécie,Crédito,491.5
6,6,6,7,100,6,2017-11-21T03:38:45.347Z,Depósito em espécie,Crédito,398.0
7,7,7,6,48,7,2022-04-08T06:18:27.941Z,Depósito em espécie,Crédito,25.2
8,8,8,3,73,8,2017-10-21T00:38:39.755Z,TED - Recebido,Crédito,1883.0
9,9,9,4,45,9,2021-01-14T18:55:55.062Z,Depósito em espécie,Crédito,64.1
10,10,10,3,98,10,2015-07-24T13:49:52.225Z,TED - Recebido,Crédito,9648.0
11,11,11,4,19,11,2021-10-04T23:30:41.005Z,Depósito em espécie,Crédito,104.2
12,12,12,2,90,12,2013-03-29T19:10:36.160Z,TED - Recebido,Crédito,858.0
13,13,13,8,38,13,2020-01-12T06:10:48.684Z,Depósito em espécie,Crédito,32.0
14,14,14,1,11,14,2021-12-04T10:42:34.663Z,Depósito em espécie,Crédito,301.4
15,15,15,7,33,15,2019-02-13T13:11:40.865Z,Depósito em espécie,Crédito,296.3
16,16,16,5,67,16,2021-04-23T00:51:30.839Z,TED - Recebido,Crédito,7131.0
17,17,17,7,7,17,2020-08-17T19:45:02.974Z,Depósito em espécie,Crédito,718.5
18,18,18,2,85,18,2011-06-24T14:21:00.175Z,TED - Recebido,Crédito,262.0
19,19,19,7,71,19,2016-09-06T09:08:49.525Z,Depósito em espécie,Crédito,1063.7
20,20,20,3,91,20,2019-05-26T23:19:52.375Z,Depósito em espécie,Crédito,301.8
21,21,21,2,86,21,2012-03-19T22:06:42.484Z,Depósito em espécie,Crédito,42.5
22,22,22,1,26,22,2014-11-19T03:58:01.199Z,Depósito em espécie,Crédito,47.0
23,23,23,7,33,23,2015-10-09T08:50:16.935Z,Depósito em espécie,Crédito,107.7
24,24,24,6,54,24,2015-10-09T18:19:38.105Z,Depósito em espécie,Crédito,157.2
25,25,25,8,23,25,2022-08-25T16:20:48.384Z,Depósito em espécie,Crédito,107.3
26,26,26,8,38,26,2021-07-14T10:56:59.241Z,Depósito em espécie,Crédito,172.3
27,27,27,7,42,27,2019-09-24T22:01:18.745Z,Depósito em espécie,Crédito,1043.8
28,28,28,2,76,28,2016-07-08T11:27:50.014Z,TED - Recebido,Crédito,1187.0
29,29,29,3,98,29,2019-12-25T07:06:58.388Z,Depósito em espécie,Crédito,202.0
30,30,30,9,77,30,2021-07-22T12:08:08.322Z,TED - Recebido,Crédito,3689.0
31,31,31,6,40,31,2016-11-10T09:09:05.720Z,Depósito em espécie,Crédito,382.5
